2046;11;1
2046;44;1865956992
2042;47;0.000001
2042;19;9
2042;20;7
2042;21;26
2042;22;17
2042;23;3
2042;25;695
2042;26;732
2042;27;34
2042;28;38
2042;29;11
2042;30;90
2042;31;199
2042;32;11
2042;33;139
2042;35;86
2042;24;13.053142
2042;34;0.999986
2042;38;792.408752
2042;42;7
2042;43;17
2060;162;4
2060;129;8
2060;130;2
2060;131;1
2060;132;1
2060;133;1
2060;142;1
2060;146;1
2060;134;1
2060;135;1
2060;164;1
2060;165;1
2060;166;1
2060;151;1
2060;153;1
2060;155;0
2060;160;1
2060;163;0
2061;162;24
2061;129;33
2061;130;109
2061;131;14
2061;132;135
2061;133;16
2061;137;3
2061;138;2
2061;139;2
2061;140;6
2061;141;12
2061;142;23
2061;143;2
2061;144;4
2061;145;1
2061;146;3
2061;147;2
2061;148;1
2061;134;4
2061;135;7
2061;164;7
2061;165;7
2061;166;7
2061;136;2.197225
2061;149;9
2061;150;7
2061;151;10
2061;152;1
2061;153;9
2061;154;4
2061;155;12
2061;156;24
2061;163;16
2062;162;29
2062;129;32
2062;130;236
2062;131;17
2062;132;251
2062;133;16
2062;137;3
2062;141;28
2062;142;36
2062;143;4
2062;144;1
2062;146;3
2062;147;1
2062;148;2
2062;134;1
2062;135;6
2062;164;7
2062;165;6
2062;166;7
2062;136;3.178054
2062;149;17
2062;150;5
2062;151;6
2062;152;2
2062;153;38
2062;154;8
2062;155;12
2062;163;20
2063;162;31
2063;129;34
2063;130;263
2063;131;18
2063;132;305
2063;133;19
2063;137;3
2063;141;30
2063;142;38
2063;143;4
2063;144;1
2063;146;3
2063;147;1
2063;148;2
2063;134;1
2063;135;6
2063;164;7
2063;165;6
2063;166;7
2063;136;3.178054
2063;149;17
2063;150;5
2063;151;6
2063;152;2
2063;153;38
2063;154;8
2063;155;12
2063;163;20
2064;162;14
2064;129;15
2064;130;11
2064;131;5
2064;132;6
2064;133;6
2064;137;2
2064;141;4
2064;142;8
2064;143;1
2064;144;1
2064;146;3
2064;147;2
2064;148;1
2064;134;1
2064;135;3
2064;164;3
2064;165;3
2064;166;3
2064;136;1.098612
2064;149;2
2064;150;2
2064;151;3
2064;152;1
2064;154;4
2064;155;8
2064;163;12
2065;162;8
2065;129;9
2065;130;11
2065;131;6
2065;132;7
2065;133;5
2065;137;2
2065;138;1
2065;139;1
2065;140;2
2065;141;2
2065;142;4
2065;143;1
2065;146;2
2065;147;2
2065;148;1
2065;135;2
2065;164;2
2065;165;2
2065;166;2
2065;136;0.693147
2065;149;2
2065;150;1
2065;151;1
2065;152;1
2065;154;4
2065;155;8
2065;156;8
2065;163;12
2066;162;34
2066;129;54
2066;130;55
2066;131;13
2066;132;25
2066;133;12
2066;137;3
2066;138;2
2066;139;6
2066;140;12
2066;141;14
2066;142;27
2066;143;2
2066;144;4
2066;146;3
2066;147;1
2066;148;4
